title,cast
Vertigo," James Stewart
, Kim Novak
, Barbara Bel Geddes
, Tom Helmore
, Henry Jones
, Raymond Bailey
, Ellen Corby
, Konstantin Shayne
, Lee Patrick
, David Ahdar
, Isabel Analla
, Jack Ano
, Margaret Bacon
, John Benson
, Danny Borzage
, Margaret Brayton
, Paul Bryar
, Boyd Cabeen
, Steve Conte
, Jean Corbett
, Bruno Della Santina
, Roxann Delman
, Harry Denny
, Molly Dodd
, Bess Flowers
, Raoul Freeman
, Joe Garcio
, Joanne Genthon
, Kenneth Gibson
, Don Giovanni
, Roland Gotti
, Victor Gotti
, Fred Graham
, Robert Haines
, Buck Harrington
, Alfred Hitchcock
, Jimmie Horan
, Art Howard
, Catherine Howard
, June Jocelyn
, Perk Lazelle
, John Marlin
, Miliza Milo
, Lyle Moraine
, Forbes Murray
, Julian Petruzzi
, Ezelle Poule
, Kathy Reed
, William Remick
, Jack Richardson
, Jeffrey Sayre
, Nina Shipman
, Dori Simmons
, Ed Stevlingson
, Sara Taft
"
The Hunt," Mads Mikkelsen
, Thomas Bo Larsen
, Annika Wedderkopp
, Lasse Fogelstrøm
, Susse Wold
, Anne Louise Hassing
, Lars Ranthe
, Alexandra Rapaport
, Sebastian Bull Sarning
, Steen Ordell Guldbrand Jensen
, Daniel Engstrup
, Troels Thorsen
, Søren Rønholt
, Hana Shuan
, Jytte Kvinesdal
, Josefine Gråbøl
, Bjarne Henriksen
, Nicolai Dahl Hamilton
, Øyvind Hagen-Traberg
, Allan Wibor Christensen
, Rikke Bergmann
, Rasmus Lind Rubin
, Frank Rubæk
, Jacob Højlev Jørgensen
, Nina Christrup
, Birgit Petersen
, Karina Fogh Holmkjær
, Heidi Gross
, Marie Aktor
, Mona C. Soliman
, Mie Ravn Nielsen
, Kim Westi
, Thomas Ravn
, Rosa
, Katrine Brygmann Salomon
, Martin Boserup
, Ole Dupont
, Thomas Vinterberg
"
Requiem for a Dream," Ellen Burstyn
, Jared Leto
, Jennifer Connelly
, Marlon Wayans
, Christopher McDonald
, Louise Lasser
, Marcia Jean Kurtz
, Janet Sarno
, Suzanne Shepherd
, Joanne Gordon
, Charlotte Aronofsky
, Mark Margolis
, Michael Kaycheck
, Jack O'Connell
, Chas Mastin
, Ajay Naidu
, Sean Gullette
, Samia Shoaib
, Peter Maloney
, Abraham Abraham
, Aliya Campbell
, Te'ron A. O'Neal
, Denise Dowse
, Bryan Chattoo
, Eddie De Harp
, Scott Franklin
, Peter Cheyenne
, Brian Costello
, Abraham Aronofsky
, James Chinlund
, Olga Merediz
, Allison Furman
, Robert Dylan Cohen
, Ben Shenkman
, Keith David
, Dylan Baker
, Shaun O'Hagan
, Leland Gantt
, Bill Buell
, Jimmie Ray Weeks
, Gregg Bello
, Henry Stram
, Heather Litteer
, Jenny Decker
, Ami Goodheart
, Nina Zavarin
, Stanley B. Herman
, Scott Bader
, Jim Centofanti
, Scott Chait
, Daniel Clarin
, Ben Cohen
, Eric Cohen
, Brett Feinstein
, Ricky Fier
, John Getz
, Andrew Kessler
, Ross Lombardo
, Carter Mansbach
, Scott Miller
, Todd Miller
, Joshua Pollack
, Craig Rallo
, Geordan Reisner
, Keith Scandore
, David Seltzer
, Chris Varvaro
, Ricardo Viñas
, Chad Weiner
, Jesse Weissberger
, Greg Weissman
, Hubert Selby Jr.
, Lianna Pai
, Darren Aronofsky
, Diana Berry
, John Bryant
, Keith Michaels
"
Reservoir Dogs," Harvey Keitel
, Tim Roth
, Michael Madsen
, Chris Penn
, Steve Buscemi
, Lawrence Tierney
, Randy Brooks
, Kirk Baltz
, Edward Bunker
, Quentin Tarantino
, Rich Turner
, David Steen
, Tony Cosmo
, Stevo Polyi
, Michael Sottile
, Robert Ruth
, Lawrence Bender
, Linda Kaye
, Suzanne Celeste
, Steven Wright
, Laurie Lathem
, Maria Strova
, Burr Steers
, Craig Hamann
, Scott McElroy
, Jeffrey Erin Shea
, Gerard van Gent
, Rowland Wafford
"
Mint a csillagok a földön," Darsheel Safary
, Aamir Khan
, Tisca Chopra
, Vipin Sharma
, Sachet Engineer
, Tanay Chheda
, Lalitha Lajmi
, Girija Oak
, Ravi Khanvilkar
, Pratima Kulkarni
, Meghna Malik
, Sonali Sachdev
, Sanjay Dadich
, Raaj Gopal Iyer
, Bugs Bhargava Krishna
, Shankar Sachdev
, M.K. Raina
, Gurkirtan
, Gurdeepak Kaur
, Alorika Chatterjee
, Megha Bengali
, Munireh Guhilot
, Girish Kumar Menon
, Vivekanandan
, Madhav Datt
, Prashant
, Vitthal
, Jadav
, Ramit Gupta
, Arnav Valcha
, Brihan Lamba
, Ricky
, Krishn Gopinath
, Ayaan
, Veer Mohan
, Aniket Engineer
, Abhishek Bachchan
, Samir Rajda
, Sanjay Sinha
"
Star Wars: Episode VI - Return of the Jedi," Mark Hamill
, Harrison Ford
, Carrie Fisher
, Billy Dee Williams
, Anthony Daniels
, Peter Mayhew
, Sebastian Shaw
, Ian McDiarmid
, Frank Oz
, James Earl Jones
, David Prowse
, Alec Guinness
, Kenny Baker
, Michael Pennington
, Kenneth Colley
, Michael Carter
, Denis Lawson
, Tim Rose
, Dermot Crowley
, Caroline Blakiston
, Warwick Davis
, Jeremy Bulloch
, Femi Taylor
, Annie Arbogast
, Claire Davenport
, Jack Purvis
, Mike Edmonds
, Jane Busby
, Malcolm Dixon
, Mike Cottrell
, Nicolas Read
, Adam Bareham
, Jonathan Oliver
, Pip Miller
, Tom Mannion
, Margo Apostolos
, Ray Armstrong
, Eileen Baker
, Michael Henbury Ballan
, Bobby Bell
, Patty Bell
, Alan Bennett
, Sarah Bennett
, Pamela Betts
, Danny Blackner
, Linda Bowley
, Peter Burroughs
, Debbie Lee Carrington
, Maureen Charlton
, Willie Coppen
, Sadie Corre
, Tony Cox
, John Cumming
, Jean D'Agostino
, Luis De Jesus
, Debbie Dixon
, Margarita Farrell
, Phil Fondacaro
, Sal Fondacaro
, Tony Friel
, Daniel Frishman
, John Ghavan
, Michael Gilden
, Paul Grant
, Lydia Green
, Lars Green
, Pam Grizz
, Andrew Herd
, J.J. Jackson
, Richard Jones
, Trevor Jones
, Glynn Jones
, Karen Lay
, John Lummiss
, Nancy Maclean
, Peter Mandell
, Carole Morris
, Stacie Nichols
, Chris Nunn
, Barbara O'Laughlin
, Brian Orenstein
, Harrell Parker Jr.
, John Pedrick
, April Perkins
, Ronnie Phillips
, Katie Purvis
, Carol Read
, Nicholas Read
, Diana Reynolds
, Daniel Rodgers
, Chris Romano
, Dean Shackelford
, Kiran Shah
, Felix Silla
, Linda Spriggs
, Gerald Staddon
, Josephine Staddon
, Kevin Thompson
, Kendra Wall
, Brian Wheeler
, Butch Wilhelm
, Dalyn Chew
, Celia Fushille-Burke
, Mercedes Ngoh
, Jennifer Jaffe
, Philip Edward Alexy
, Hazel Allen
, Peter Allen
, John Altman
, Franki Anderson
, Glyn Baker
, Erik Bauersfeld
, Dickey Beer
, Ailsa Berk
, Don Bies
, Richard Bonehill
, Russell Brook
, Paul Brooke
, Ben Burtt
, Maurice Bush
, Trevor Butterfield
, Vivienne Chandler
, David Church
, Tony Clarkin
, Harold Cole
, Kenneth Coombs
, Stephen Costantino
, Sean Crawford
, Adeal Crooms
, Andy Cunningham
, Ronny Cush
, Daniel D'Arcy
, Peter Diamond
, Mark Dodson
, Michael Drew
, Richard Driscoll
, Tim Dry
, Ian Durrant
, Tracey Eddon
, Douglas Farrell
, Alan Flyng
, Ernie Fosselius
, Stuart Fox
, Leroy Golding
, David Gonzales
, Isaac Grand
, Anthony Guilding
, Nelson Hall
, Poppy Hands
, Gordon Hann
, Alan Harris
, Mike Havord
, Lynne Hazelden
, Walter Henry
, Philip Herbert
, Barrie Holland
, Larry Holt
, Gerald Home
, Velma Horne
, William Hoyland
, Colin Hunt
, Carolyn Irving
, Jasper Jacob
, Monty Jordan
, Michael Josephs
, Paul Klein
, Eiji Kusuhara
, Larin Lahr
, Anthony Lang
, Arnold Lee
, Julius LeFlore
, Richard Lentz
, Swee Lim
, John Maloney
, Paul Markham
, Richard Marquand
, Hilton McRae
, George Miller
, Billy J. Mitchell
, Ralph G. Morse
, Ann Murray
, Terence Mustoo
, Amanda Noar
, Jack Orris
, Quentin Pierre
, Mike Quinn
, Barry Robertson
, Richard Robinson
, Peter Ross-Murray
, Kipsang Rotich
, Deep Roy
, Peter Roy
, Terry Sach
, Errol Shaker
, Tina Simmons
, John Simpkin
, Timothy Sinclair
, Anthony Smee
, Hugh Spight
, Paul Springer
, Guy Standeven
, Tony Star
, Michael Stevens
, David Stone
, Phil Tippett
, Marolyn Turk
, John Tynan
, Jules Walter
, Larry Ward
, Robert Watts
, Pat Welsh
, Paul Weston
, Corey Dee Williams
, Simon J. Williamson
"
Good Will Hunting," Matt Damon
, Ben Affleck
, Stellan Skarsgård
, John Mighton
, Rachel Majorowski
, Colleen McCauley
, Casey Affleck
, Cole Hauser
, Matt Mercier
, Ralph St. George
, Rob Lynds
, Dan Washington
, Alison Folland
, Derrick Bridgeman
, Vik Sahay
, Shannon Egleson
, Rob Lyons
, Steven Kozlowski
, Minnie Driver
, Jennifer Deathe
, Scott William Winters
, Philip Williams
, Patrick O'Donnell
, Kevin Rushton
, Jimmy Flynn
, Joe Cannon
, Ann Matacunas
, George Plimpton
, Francesco Clemente
, Robin Williams
, Jessica Morton
, Barna Moricz
, Libby Geller
, Chas Lawther
, Richard Fitzpatrick
, Frank Nakashima
, Chris Britton
, David Eisner
, Bruce Hunter
, Robert Talvano
, James Allodi
, Michael Arthur
, Steve Bertorelli
, Nancy Carlsson-Paige
, Bobby Curcuro
, Kent Damon
, Riva Di Paola
, Paul Essiembre
, Jed Griswold
, Christian Harmony
, Robert Harrell
, Elisabeth Anne Hughes
, Harmony Korine
, Thomas Lundy
, Paul McGillicuddy
, Michael A. Myles
, Daniel Olsen
, Dale Resteghini
, Brian Rivers
, Gerry Speca
, Stephen Trouskie
, Jay Yoo
"
Inglourious Basterds," Brad Pitt
, Mélanie Laurent
, Christoph Waltz
, Eli Roth
, Michael Fassbender
, Diane Kruger
, Daniel Brühl
, Til Schweiger
, Gedeon Burkhard
, Jacky Ido
, B.J. Novak
, Omar Doom
, August Diehl
, Denis Ménochet
, Sylvester Groth
, Martin Wuttke
, Mike Myers
, Julie Dreyfus
, Richard Sammel
, Alexander Fehling
, Rod Taylor
, Sönke Möhring
, Samm Levine
, Paul Rust
, Michael Bacall
, Arndt Schwering-Sohnrey
, Petra Hartung
, Volker Michalowski
, Ken Duken
, Christian Berkel
, Anne-Sophie Franck
, Léa Seydoux
, Tina Rodriguez
, Lena Friedrich
, Ludger Pistor
, Jana Pallaske
, Wolfgang Lindner
, Michael Kranz
, Rainer Bock
, André Penvern
, Sebastian Hülk
, Buddy Joe Hooker
, Carlos Fidel
, Christian Brückner
, Hilmar Eichhorn
, Patrick Elias
, Eva Löbau
, Salvadore Brandt
, Jasper Linnewedel
, Wilfried Hochholdinger
, Olivier Girard
, Michael Scheel
, Leo Plank
, Andreas Tietz
, Bo Svenson
, Enzo G. Castellari
, Michael August
, Bela B.
, Noémi Besedes
, Alex Boden
, Luke Burnyeat
, Hélène Cardona
, Guido Foehrweisser
, Jake Garber
, Claudina Hoff ter Heide
, Samuel L. Jackson
, Harvey Keitel
, Frederik Klaus
, Arnold Montey
, Andrew Napier
, Greg Nicotero
, Niko Novick
, Aleksandrs Petukhovs
, Brendan Potter
, Sabrina Rattey
, Bea-Marie Rück
, Daniela Schwerdt
, Julia Smola
, Quentin Tarantino
, Vitus Wieser
"
Amadeus," F. Murray Abraham
, Tom Hulce
, Elizabeth Berridge
, Roy Dotrice
, Simon Callow
, Christine Ebersole
, Jeffrey Jones
, Charles Kay
, Kenneth McMillan
, Kenny Baker
, Lisbeth Bartlett
, Barbara Bryne
, Martin Cavina
, Roderick Cook
, Milan Demjanenko
, Peter DiGesu
, Richard Frank
, Patrick Hines
, Nicholas Kepros
, Philip Lenkowsky
, Herman Meckler
, Jonathan Moore
, Cynthia Nixon
, Brian Pettifer
, Vincent Schiavelli
, Douglas Seale
, Miroslav Sekera
, Cassie Stuart
, John Strauss
, Karl-Heinz Teuber
, Rita Zohar
, Miro Grisa
, Helena Cihelnikova
, Karel Gult
, Zuzana Kadlecova
, Magda Celakovska
, Slavena Drasilova
, Eva Senková
, Leos Kratochvil
, Gino Zeman
, Janoslav Mikulín
, Ladislav Krecmer
, Karel Fiala
, Jan Blazek
, Zdenek Jelen
, Milada Cechalova
, John Carrafa
, Sara Clifford
, Richard Colton
, Shelley Freydont
, Anne Glasner
, Barbara Hoom
, Mary Kellogg
, Raymond Kurshals
, John Malashock
, Jennifer Rawe
, Tom Rawe
, William Whitener
, Hana Brejchová
, Miriam Chytilová
, Karel Effa
, Radka Fiedlerová
, Rene Gabzdyl
, Karel Hábl
, Atka Janousková
, Marta Jarolimkova
, Gabriela Krckova
, Vladimir Krousky
, Jirí Krytinár
, Radka Kucharova
, Jan Kuzelka
, Jirí Lír
, Lenka Loubalová
, Dagmar Maskova
, Ladislav Mikes
, Jitka Molavcová
, Jana Musilová
, Vojtech Nalezenec
, Pavel Nový
, Jiri Opsatko
, Jan Pohan
, Therese Herz
, Ivan Pokorný
, Milan Riehs
, Iva Sebkova
, Zdenek Sklenar
, Renata Vackova
, Jiri Vancura
, Dana Vávrová
, Petra Vogelova
, Josef Zeman
, June Anderson
, Isobel Buchanan
, Michele Esposito
, Gillian Fisher
, Anne Howells
, Brian Kay
, Robin Leggate
, Felicity Lott
, Zdenek Mahler
, Suzanne Murphy
, Alexander Oliver
, Patricia Payne
, Samuel Ramey
, Deborah Rees
, Richard Stilwell
, Vladimír Svitácek
, John Tomlinson
, Willard White
"
3 Idiots," Aamir Khan
, Madhavan
, Sharman Joshi
, Kareena Kapoor
, Boman Irani
, Omi Vaidya
, Mona Singh
, Olivier Lafont
, Rahul Kumar
, Parikshit Sahni
, Farida Dadi
, Amardeep Jha
, Mukund Bhatt
, Chaitali Bose
, Javed Jaffrey
, Jayant Kripalani
, Arun Bali
, Shoaib Ahmed
, Dushyant Wagh
, Pooja Goswami
, A.S. Duggal
, Annapurna Kaul
, R.S. Kodange
, Dharmendra Bhurji
, Meghna Bhalla
, Harvinder Singh
, Dilshad Edibam
, Rajeev Ravindranathan
, Hitesh Tak
, Rajendra Patwardhan
, Achyut Potdar
, Ali Fazal
, Madhav Vaze
, Dileep Desai
, Raghunathan
, Vaidyanathan
, Kumar Veer Singh
, Shailja Dhar
, Dinesh Kumar
, Aakash Dabhade
, Apul Jaisinghani
, Trilok Sadhwani
, Akhil Mishra
, Sonu
, Atul Tiwari
, Praful Kulkarni
, Jalil Parkar
, Debashish Naha
, Michael Joseph
, Smriti
, Sanjay Sood
, Dayal Sharma
, Rakesh Sharma
, Elihud George
, Sarvanna
, Tanveer Ahmed
, Shankar Sachdev
, Kishor Patil
, Insia Lacewalla
, Keshav Rae
, Lata Kurdikar
, Suhas Vaidya
, Nishi Singh
, Saurabh Agnihotri
, Sitaram Sharma
, Pundit Prayag Raj
, Supriya Shukla
, Malvika Singh
, Tsanwal Namgyal
, Jigmet Dorjey
, Freny Bhagat
, Rohitash Gaud
, Komal Jha
, Pitobash
, Bharat Jha
"
Toy Story," Tom Hanks
, Tim Allen
, Don Rickles
, Jim Varney
, Wallace Shawn
, John Ratzenberger
, Annie Potts
, John Morris
, Erik von Detten
, Laurie Metcalf
, R. Lee Ermey
, Sarah Freeman
, Penn Jillette
, Jack Angel
, Spencer Aste
, Greg Berg
, Lisa Bradley
, Kendall Cunningham
, Debi Derryberry
, Cody Dorkin
, Bill Farmer
, Craig Good
, Gregory Grudt
, Danielle Judovits
, Sam Lasseter
, Brittany Levenbrown
, Sherry Lynn
, Scott McAfee
, Mickie McGowan
, Ryan O'Donohue
, Jeff Pidgeon
, Patrick Pinney
, Phil Proctor
, Jan Rabson
, Joe Ranft
, Andrew Stanton
, Shane Sweet
, Wayne Allwine
, Tony Anselmo
, Jonathan Benair
, Anthony Burch
, John Lasseter
, Billy West
"
2001: A Space Odyssey," Keir Dullea
, Gary Lockwood
, William Sylvester
, Daniel Richter
, Leonard Rossiter
, Margaret Tyzack
, Robert Beatty
, Sean Sullivan
, Douglas Rain
, Frank Miller
, Bill Weston
, Ed Bishop
, Glenn Beck
, Alan Gifford
, Ann Gillis
, Edwina Carroll
, Penny Brahms
, Heather Downham
, Mike Lovell
, John Ashley
, Jimmy Bell
, David Charkham
, Simon Davis
, Jonathan Daw
, Péter Delmár
, Terry Duggan
, David Fleetwood
, Danny Grover
, Brian Hawley
, David Hines
, Tony Jackson
, John Jordan
, Scott MacKee
, Laurence Marchant
, Darryl Paes
, Joe Refalo
, Andy Wallace
, Bob Wilyman
, Richard Woods
, Martin Amor
, S. Newton Anderson
, Ann Barrass
, Sheraton Blount
, Ann Bormann
, John Clifford
, Harold Coyne
, Julie Croft
, Harry Fielder
, Penny Francis
, Jane Hayward
, Lew Hooper
, Judy Keirn
, Kenneth Kendall
, Maya Koumani
, Vivian Kubrick
, Roy Lansford
, Maggie London
, Marcella Markham
, Irena Marr
, Krystyna Marr
, Chela Matthison
, Colin McKenzie
, Kim Neil
, Jane Pearl
, Penny Pearl
, Ivor Powell
, Doug Robinson
, Jennifer Sanders
, Kevin Scott
, John Swindells
, Burnell Tucker
"
Das Boot," Jürgen Prochnow
, Herbert Grönemeyer
, Klaus Wennemann
, Hubertus Bengsch
, Martin Semmelrogge
, Bernd Tauber
, Erwin Leder
, Martin May
, Heinz Hoenig
, Uwe Ochsenknecht
, Claude-Oliver Rudolph
, Jan Fedder
, Ralf Richter
, Joachim Bernhard
, Oliver Stritzel
, Konrad Becker
, Lutz Schnell
, Martin Hemme
, Rita Cadillac
, Otto Sander
, Günter Lamprecht
, Thomas Boxhammer
, Roger Barth
, Günther Franke
, Christian Bendomir
, Norbert Gronwald
, Albert Kraml
, Jean-Claude Hoffmann
, Peter Pathenis
, Arno Kral
, Christian Seipolt
, Helmut Neumeier
, Ferdinand Schaal
, Wilhelm Pietsch
, Rolf Weber
, Dirk Salomon
, Lothar Zajicek
, Sky du Mont
, Ulrich Günther
, Maryline Moulard
, Edwige Pierre
, Günter Spörrle
"
High and Low," Toshirô Mifune
, Tatsuya Nakadai
, Kyôko Kagawa
, Tatsuya Mihashi
, Isao Kimura
, Kenjirô Ishiyama
, Takeshi Katô
, Takashi Shimura
, Jun Tazaki
, Nobuo Nakamura
, Yûnosuke Itô
, Tsutomu Yamazaki
, Minoru Chiaki
, Eijirô Tôno
, Masao Shimizu
, Yutaka Sada
, Masahiko Shimazu
, Toshio Egi
, Kôji Mitsui
, Kyû Sazanka
, Susumu Fujita
, Kamatari Fujiwara
, Yoshio Tsuchiya
, Kazuo Kitamura
, Gen Shimizu
, Akira Nagoya
, Jun Hamamura
, Masao Oda
, Kô Nishimura
, Yoshifumi Tajima
, Kôji Kiyomura
, Hiroshi Unayama
, Yoshisuke Makino
, Jun Kondô
, Satoshi Suzuki
, Senkichi Ômura
, Kazuo Katô
, Ikio Sawamura
, Kin Sugai
, Keiko Tomita
, Isao Onoda
, Seiichi Taguchi
, Takeo Matsushita
, Kiyoshi Yamamoto
, Kenji Kodama
, Minoru Itô
, Haruo Suzuki
, Bin Furuya
, Akio Kusama
, Kôzô Nomura
, Miki Yashiro
"
Braveheart," James Robinson
, Sean Lawlor
, Sandy Nelson
, James Cosmo
, Sean McGinley
, Alan Tall
, Andrew Weir
, Gerda Stevenson
, Ralph Riach
, Mhairi Calvey
, Brian Cox
, Patrick McGoohan
, Peter Hanly
, Sophie Marceau
, Stephen Billington
, Barry McGovern
, Angus Macfadyen
, John Kavanagh
, Alun Armstrong
, Mel Gibson
, Catherine McCormack
, Brendan Gleeson
, Tommy Flanagan
, Julie Austin
, Alex Norton
, Joanne Bett
, Rupert Vansittart
, Michael Byrne
, Robert Paterson
, Malcolm Tierney
, William Scott-Masson
, Dean Lopata
, Tam White
, Donal Gibson
, Jeanne Marine
, Martin Dunne
, Fred Chiverton
, Ian Bannen
, Jimmy Chisholm
, David O'Hara
, John Murtagh
, David McKay
, Peter Mullan
, Martin Murphy
, Gerard McSorley
, Bernard Horsfall
, Richard Leaf
, Daniel Coll
, Niall O'Brien
, Liam Carney
, Bill Murdoch
, Phil Kelly
, Martin Dempsey
, Jimmy Keogh
, Joe Savino
, David Gant
, Mal Whyte
, Paul Tucker
, Stephen J. Austin
, John Burns
, Wayne Byrne
, Paul Casson-Yardley
, Jon Church-Fraser
, Trevor Fehin
, Graeme Ford
, John Micheal Foulger
, Declan Geraghty
, Greg Jeloudov
, Jimmy Keegan
, Andrew Kybett
, Alastair Thomson Mills
, Arnold Montey
, Rana Morrison
, Jer O'Leary
, Derek Pykett
, Jaroslav Strba
"
American Beauty," Kevin Spacey
, Annette Bening
, Thora Birch
, Wes Bentley
, Mena Suvari
, Peter Gallagher
, Allison Janney
, Chris Cooper
, Scott Bakula
, Sam Robards
, Barry Del Sherman
, Ara Celi
, John Cho
, Fort Atkinson
, Sue Casey
, Kent Faulcon
, Brenda Wehle
, Lisa Cloud
, Alison Faulk
, Krista Goodsitt
, Lily Houtkin
, Carolina Lancaster
, Mona Leah
, Chekesha Van Putten
, Emily Zachary
, Nancy Anderson
, Reshma Gajjar
, Stephanie Rizzo
, Heather Joy Sher
, Chelsea Hertford
, Amber Smith
, Joel McCrary
, Marissa Jaret Winokur
, Dennis Anderson
, Matthew Kimbrough
, Erin Cathryn Strubbe
, Thomas J Armstrong
, Bruce Cohen
, Elaine Corral Kendall
, David C. Fisher
, Tom Miller
, Ronald Reagan
"
Capernaum," Zain Al Rafeea
, Yordanos Shiferaw
, Boluwatife Treasure Bankole
, Kawsar Al Haddad
, Fadi Yousef
, Cedra Izzam
, Alaa Chouchnieh
, Elias Khoury
, Mohammad Al Abdallah
, Mohamad Abdellatif
, Abdo Abdo
, Hampig Abraham
, Jamil Ahmad
, Mohamad Akkar
, Elias Akobegia
, Riman Al Rafeea
, Legamett Alamou
, Majd Nabil Alhalabi
, Nabil Hasan Ali
, Wissam Al Ali
, Fatme Aliammal
, Khodr Ali Alkhalaf
, Faten Asmar
, Ahmad Assaf
, Mohamad Assaf
, Rosina Awtar
, Roula Awtar
, Shahinour Awtar
, Rima Awter
, Elean Badrawi
, Rinalyn Balderamos
, Merlita Bayo
, Yemisrach Begasham
, Lama Begaum
, Minara Begaum
, Fe Blanco
, Anas Breij
, Mohamad Chabouri
, Darine Chahine
, Samira Chalhoub
, Mohamad Chbib
, Louais Dandan
, Mohamad Darwich
, Nasser Darwich
, Zakaria Darwich
, Jasmine Delore
, Ahmad El Beiruty
, Mohamad El Beiruty
, Mohamad El Hallak
, Nour El Husseini
, Abdellatif El Joghlob
, Said El Nachar
, Asmaa El Razek
, Rahaf El Razek
, Ahmad Fahim
, Ahmad Fakhreddine
, Hayat Fakhredine
, Shaden Fakih
, Barraa' Fares
, Groupe Franciscain
, Hussein Ghaddar
, Ahmad Ghadi
, Mirna Ghamloushi
, Jamil Ghosh
, Maryam Chamoun Haddad
, Abdallah Hajjar
, Mohammad Hammoud
, Farah Hasno
, Samir Zaki Hussein
, Tamer Ibrahim
, Mirna Izzam
, Bahia Jaber
, Taha Jaber
, Sami Al Jamal
, Murad Jawapra
, Joseph Jimbazian
, Abdelsalam Kamal
, Farah Kanjo
, Fadi Kassem
, Mahmoud Kassem
, Awedis Kerdejian
, Kevork Kevorkian
, Nadine Labaki
, Joe Maalouf
, Mary Jane Magracia
, Ghida Majzoub
, Tespina George Megalides
, Grace Mikhael
, Kemet Nado Mongesho
, Ali Mordaa
, Michel Moukarzel
, Najat Amar Moussa
, Hassan Nassar
, Ahmad Obeid
, Chadi Obeid
, Hassan Ben Qaiss
, Foutoun Raad
, Abbas Raafat
, Hussein Al Rafeea
, Iman Al Rafeea
, Saleh Ramadan
, Serena Safa
, Zeinab Safwan
, Mona Saliba
, Soeur Helene Seif
, Ahmad Shabana
, Hirot Solomon
, Michele Suedad
, Mostafa Taabani
, Mohamad Tayeh
, Haymourot Teshome
, Renelyn A. Wilson
, Alexandre Youakim
, Joseph Younes
, Ali Zoghbi
"
Coco," Anthony Gonzalez
, Gael García Bernal
, Benjamin Bratt
, Alanna Ubach
, Renee Victor
, Jaime Camil
, Alfonso Arau
, Herbert Siguenza
, Gabriel Iglesias
, Lombardo Boyar
, Ana Ofelia Murguía
, Natalia Cordova-Buckley
, Selene Luna
, Edward James Olmos
, Sofía Espinosa
, Carla Medina
, Dyana Ortelli
, Luis Valdez
, Blanca Araceli
, Salvador Reyes
, Cheech Marin
, Octavio Solis
, John Ratzenberger
"
